TGL_TRANSAKSI,NAMA_BARANG,JUMLAH_STOK
2023-05-03,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-05-04,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-05-05,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-05-06,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,4
2023-05-07,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-05-08,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,6
2023-05-09,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-05-10,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-05-11,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-05-12,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-05-13,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-05-14,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-05-15,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,6
2023-05-16,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-05-17,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-05-18,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-05-19,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,5
2023-05-20,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-05-21,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-05-22,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-05-23,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-05-24,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-05-25,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-05-26,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-05-27,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-05-28,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
